danbai,dan,danhong,hong,jiang,anhong,honghuang,qingzi,danzi,tip12Percent,left12Percent,right12Percent,both12Percent,middle12Percent,avgBrightness,peakingBrightness,brightness,id,label
0,15,35,2,0,0,0,43,4,0,0,0,0,0,166.7486028,0.502100146,1,10001,danhong
66,19,2,0,0,3,0,0,10,0,0,0,0,0,153.2133396,-0.111577832,1,10007,danhong
12,35,24,25,0,4,1,0,0,67,5,3,4,2,154.2575251,-0.005874561,1,10010,danhong
0,0,9,4,0,0,87,0,0,3,1,2,1,0,123.2114912,-1.07830297,1,10016,danhong
20,32,28,8,0,12,0,0,0,10,6,0,3,0,106.6135466,-1.039870147,1,10017,danhong
40,55,4,0,0,0,1,0,0,0,0,0,0,0,155.7300796,3.216450978,1,10019,danhong
51,24,17,6,0,2,0,0,0,13,0,0,0,0,167.6797938,0.775574266,1,10027,danhong
1,40,47,9,0,3,0,0,0,13,8,4,6,0,168.7365374,2.039199481,1,10030,danhong
38,37,7,0,0,14,0,0,3,0,0,0,0,0,139.8024637,-0.476599514,1,10031,danhong
25,52,15,5,0,0,2,0,0,10,0,0,0,0,180.501338,9.043695922,1,10032,danhong
36,61,3,0,0,0,0,0,0,0,0,0,0,0,185.7358676,0.160568855,1,1004,danhong
0,41,39,7,0,0,13,0,0,13,1,1,1,0,175.0056017,1.990195821,1,10041,danhong
0,20,51,1,0,0,28,0,0,0,0,0,0,0,188.5720256,0.528640549,1,10046,danhong
72,25,1,0,0,1,2,0,0,0,0,0,0,0,150.1867345,2.323294087,1,10048,danhong
40,33,19,0,0,5,2,0,0,1,0,0,0,0,168.591734,2.063956149,1,10049,danhong
1,19,44,20,0,1,15,0,0,23,10,0,6,0,144.9859427,-0.658849895,1,10054,danhong
0,14,60,11,0,1,15,0,0,6,14,3,8,0,169.0456947,0.601694506,1,10056,danhong
0,0,0,0,0,0,99,0,0,0,0,0,0,0,161.9187191,3.79109557,1,10057,danhong
0,0,45,8,0,0,47,0,0,19,1,0,1,1,166.1520183,6.146447746,1,10059,danhong
41,44,6,0,0,0,0,0,8,0,0,0,0,0,150.7444346,-0.409230185,1,10066,danhong
32,44,9,1,0,1,0,0,12,0,1,2,1,0,171.0790871,3.642531283,1,10069,danhong
8,57,29,3,0,3,0,0,0,7,0,1,0,0,159.42003,-0.252739107,1,10070,danhong
18,33,13,3,0,31,0,0,2,8,2,0,1,0,108.7063927,-0.599502947,1,10075,danhong
0,0,8,1,0,0,91,0,0,0,0,0,0,0,178.7918598,-0.100959152,1,10077,danhong
36,42,18,4,0,1,0,0,0,0,8,0,4,0,158.6589844,2.330705843,1,10078,danhong
55,24,4,1,0,17,0,0,0,0,1,0,1,0,135.7741921,-0.042741907,1,10080,danhong
0,0,12,1,0,0,87,0,0,1,0,0,0,0,172.5735528,3.914767077,1,10082,danhong
6,32,50,3,0,10,0,0,0,2,1,1,1,0,184.6780285,2.049465791,1,10087,danhong
1,35,43,19,0,1,2,0,0,37,13,1,6,0,152.7182548,0.549762119,1,10089,danhong
49,31,15,3,0,0,0,0,3,4,1,1,1,0,168.3316841,-0.279936171,1,10090,danhong
3,8,14,8,0,66,0,0,0,1,0,17,8,0,62.26431438,0.797609134,3,10091,danhong
12,34,44,9,0,1,0,0,0,11,8,0,4,0,171.7364064,0.404450417,1,10096,danhong
0,0,21,5,0,0,74,0,0,14,0,2,1,0,153.4286826,1.48700652,1,10097,danhong
31,53,4,0,0,12,0,0,0,0,0,0,0,0,116.7801508,0.789799062,1,10100,danhong
29,27,17,3,0,18,6,0,0,4,1,1,1,0,96.7999842,0.246310942,3,10101,danhong
2,43,41,11,0,2,0,0,0,9,4,21,11,1,137.4032527,1.111700746,1,10102,danhong
58,38,4,0,0,0,0,0,0,0,0,0,0,0,160.8260841,0.314116792,1,10119,danhong
0,0,44,21,0,0,34,0,0,48,21,6,12,2,156.0468658,4.515864878,1,10121,danhong
0,1,47,9,0,0,44,0,0,26,3,3,3,0,144.5061922,-0.328419506,1,10125,danhong
0,13,28,3,0,19,37,0,0,1,0,4,2,0,69.79139142,-0.384869859,3,10140,danhong
1,18,33,5,0,5,37,0,0,8,0,2,1,3,98.44078637,-1.105376751,0,10141,danhong
23,46,25,1,0,0,5,0,0,2,0,0,0,0,140.1839077,0.909044553,1,10142,danhong
54,36,7,3,0,1,0,0,0,0,4,0,2,0,176.6853341,0.017416606,1,10144,danhong
27,65,7,0,0,1,1,0,0,0,0,0,0,0,178.0206186,2.377275905,1,10153,danhong
34,30,20,4,0,6,7,0,0,3,1,1,1,0,154.3725536,-0.338328363,1,10154,danhong
0,7,40,29,0,11,14,0,0,38,1,23,15,3,127.8749602,0.605479861,1,10161,danhong
20,47,2,0,0,0,0,5,26,0,0,0,0,0,170.3623128,0.669278151,1,10172,danhong
57,28,13,2,0,0,0,0,0,1,0,0,0,0,189.8030788,0.67279591,1,10173,danhong
13,44,37,3,0,3,1,0,0,5,1,1,1,0,156.9609957,0.563556771,1,10175,danhong
16,56,27,0,0,0,0,0,0,1,0,0,0,0,134.5808875,0.877536007,1,10176,danhong
22,41,16,1,0,20,1,0,0,1,1,0,0,4,126.0362204,-0.127573726,1,10177,danhong
38,26,16,8,0,11,0,0,0,15,5,1,3,0,132.0478101,-0.614935423,1,10180,danhong
56,33,8,0,0,3,0,0,0,0,0,0,0,0,147.3757636,0.663026068,1,10187,danhong
0,8,71,14,0,2,4,0,0,16,10,4,7,1,175.439887,2.084371359,1,10203,danhong
23,57,19,1,0,0,0,0,0,1,1,0,1,0,167.2901724,1.318271394,1,10204,danhong
10,42,33,7,0,9,0,0,0,17,2,0,1,1,155.2195959,0.754415573,1,10205,danhong
47,38,12,3,0,0,0,0,0,0,4,0,2,0,178.7742467,-0.329524752,1,10208,danhong
0,15,76,9,0,0,0,0,0,3,9,6,7,0,178.6124989,1.079349294,1,10214,danhong
0,0,13,1,0,0,86,0,0,1,0,0,0,0,172.8836484,2.20478837,1,10221,danhong
6,43,39,9,0,4,0,0,0,17,0,0,0,9,149.2865422,-0.322867123,1,10227,danhong
34,42,18,4,0,1,2,0,0,12,0,0,0,0,136.7244608,1.87682392,1,10239,danhong
28,19,1,0,0,8,0,4,41,0,0,0,0,0,131.2191564,-0.045411182,1,10244,danhong
59,16,4,0,0,21,0,0,0,0,0,0,0,0,124.9557421,-0.242320781,1,10249,danhong
5,24,30,28,0,4,0,3,5,52,0,0,0,2,162.9496204,-0.734047632,1,10253,danhong
0,0,27,2,0,0,71,0,0,0,0,0,0,0,171.5635627,1.162436022,1,10257,danhong
0,4,59,11,0,3,24,0,0,8,16,4,10,0,160.4906634,0.247824489,1,10263,danhong
60,22,3,0,0,12,2,0,0,0,0,0,0,0,102.6795508,11.09445012,1,10266,danhong
30,38,24,1,0,7,0,0,1,2,0,0,0,0,144.1039884,0.276301177,1,10270,danhong
0,0,22,4,0,0,74,0,0,4,8,2,5,1,154.4361432,0.792009983,1,10272,danhong
51,29,10,2,0,7,0,0,1,3,0,0,0,0,155.4073973,-0.519634382,1,10318,danhong
42,40,12,0,0,5,1,0,0,0,0,0,0,0,153.6811341,1.3865996,1,10319,danhong
0,31,48,17,0,2,0,0,0,27,0,6,3,0,167.8923435,3.13998946,1,10321,danhong
41,37,13,0,0,2,0,0,7,0,0,0,0,0,142.8151547,1.023949576,1,10322,danhong
56,28,9,0,0,7,0,0,0,0,0,0,0,0,189.9067002,3.251484635,1,10324,danhong
12,66,15,2,0,3,1,0,0,0,0,1,1,0,195.1191791,1.644179291,1,10325,danhong
86,11,0,0,0,3,0,0,0,0,0,0,0,0,108.6352834,0.717696694,1,10328,danhong
2,61,28,6,0,2,0,0,0,13,2,3,3,1,149.4649626,4.258239037,1,10330,danhong
73,10,2,0,0,3,0,0,12,0,0,0,0,0,127.5175679,0.283284158,1,10333,danhong
19,41,34,2,0,4,0,0,0,6,0,0,0,0,142.2769792,0.423079479,1,10334,danhong
0,36,46,14,0,3,2,0,0,9,10,11,11,0,152.409276,2.384440919,1,10335,danhong
72,28,0,0,0,0,0,0,0,0,0,0,0,0,153.6303945,1.573702636,1,10336,danhong
0,2,49,18,0,1,30,0,0,40,0,3,1,0,140.0719616,2.141916155,1,10339,danhong
30,35,32,1,0,1,0,0,0,1,0,0,0,0,189.9880607,1.177412753,1,10340,danhong
13,19,59,6,0,2,0,0,0,6,0,4,2,0,173.153766,0.986889657,1,10342,danhong
14,34,35,14,0,3,0,0,0,31,2,2,2,1,152.6435454,-0.316636576,1,10344,danhong
0,38,35,5,0,5,18,0,0,0,7,5,6,5,110.6030904,-0.553797565,1,10345,danhong
11,19,47,21,0,2,0,0,0,39,22,6,13,0,127.7483538,0.548449008,1,10347,danhong
5,53,40,0,0,2,0,0,0,1,0,0,0,0,181.1136048,2.284909641,1,10351,danhong
1,16,51,19,0,13,0,0,0,18,13,15,14,1,95.43570754,0.397096388,3,10352,danhong
56,34,10,0,0,0,0,0,0,2,0,0,0,0,167.8294743,1.175889411,1,10356,danhong
0,18,60,5,0,4,14,0,0,8,0,2,1,0,171.1481387,0.069224924,1,10360,danhong
0,14,59,18,0,7,3,0,0,20,15,9,13,3,151.1764901,0.374627503,1,10361,danhong
0,18,28,23,0,2,29,0,0,77,3,4,4,6,118.7472507,2.416133905,1,10362,danhong
51,40,9,0,0,0,0,0,0,0,0,0,0,0,180.6198934,1.111262989,1,10363,danhong
0,0,69,29,0,0,2,0,0,1,18,39,28,1,165.1390988,-0.897276163,1,10364,danhong
0,32,61,4,0,3,0,0,0,8,1,0,0,0,169.2499142,3.391517893,1,10367,danhong
54,34,8,3,0,2,0,0,0,8,1,0,1,0,167.8899438,5.356960811,1,10368,danhong
0,6,48,7,0,0,39,0,0,1,0,0,0,0,186.0768135,1.239875082,1,10371,danhong
3,30,48,9,0,11,0,0,0,10,8,0,4,0,155.7576216,0.043889474,1,10374,danhong
43,26,8,0,0,24,0,0,0,0,0,0,0,0,105.8357852,4.648529069,1,10382,danhong
62,19,1,0,0,0,0,0,18,0,0,0,0,0,168.1761268,0.908549578,1,10383,danhong
82,14,3,0,0,0,2,0,0,0,0,0,0,0,163.4684479,-1.282263391,1,10384,danhong
37,56,7,0,0,0,0,0,0,0,0,0,0,0,202.8598853,0.507744241,2,10385,danhong
14,34,35,14,0,3,0,0,0,31,2,2,2,1,152.6435454,-0.316636576,1,10387,danhong
27,19,31,0,0,1,22,0,0,0,0,0,0,0,147.570531,0.431712232,1,10388,danhong
73,10,2,0,0,3,0,0,12,0,0,0,0,0,127.5175679,0.283284158,1,10389,danhong
0,2,85,13,0,0,0,0,0,11,10,9,9,0,180.903565,0.636110049,1,10390,danhong
2,61,28,6,0,2,0,0,0,13,2,3,3,1,149.4649626,4.258239037,1,10391,danhong
16,26,52,4,0,2,1,0,0,3,0,1,1,0,182.4369503,0.390029104,1,10393,danhong
2,32,45,20,0,0,1,0,0,25,4,1,2,0,180.5712348,0.69290815,1,10395,danhong
23,23,11,3,0,19,21,0,0,8,0,0,0,1,124.2222355,-0.878028453,1,10397,danhong
49,38,9,1,0,2,1,0,0,1,0,0,0,0,121.8990273,1.383782962,1,10400,danhong
36,42,14,3,0,4,0,0,1,0,9,1,4,0,121.8239272,1.853474495,1,10401,danhong
43,38,17,1,0,0,0,0,0,4,0,0,0,0,152.1625894,1.295172991,1,10403,danhong
0,0,60,18,0,0,21,0,0,27,6,1,3,2,177.0612077,0.481830784,1,10410,danhong
35,48,13,4,0,1,0,0,0,11,0,1,1,2,157.7007943,4.98570224,1,10412,danhong
6,47,43,3,0,0,0,0,0,6,1,0,0,0,148.4783391,-0.510394529,1,10413,danhong
37,62,1,0,0,1,0,0,0,0,0,0,0,0,122.579987,0.636742959,1,10414,danhong
0,34,44,6,0,6,10,0,0,0,1,9,5,0,167.6620011,0.252585997,1,10416,danhong
1,26,53,11,0,5,4,0,0,9,1,1,1,0,191.5315703,3.607258764,1,10418,danhong
