,danbai,dan,danhong,hong,jiang,anhong,honghuang,qingzi,danzi,brightness,label,predict
0,58,36,5,0,0,0,0,0,1,151.67580700000002,danbai,danhong
1,72,15,6,0,0,3,2,0,0,170.71990580000002,danbai,danhong
2,71,24,0,0,0,0,0,0,5,147.6621642,danbai,danhong
3,0,0,7,0,0,0,93,0,0,168.4284914,danbai,danhong
4,81,7,0,0,0,12,0,0,1,137.76588059999997,danbai,danhong
5,11,11,21,0,0,0,56,0,0,156.8848299,danbai,danhong
6,0,3,29,1,0,0,67,0,0,196.5099377,danbai,danbai
7,73,20,1,0,0,7,0,0,0,178.48501819999998,danbai,danhong
8,68,27,5,0,0,0,0,0,0,171.83713500000002,danbai,danhong
9,76,17,0,0,0,2,0,0,4,161.0134707,danbai,danhong
10,81,15,3,0,0,0,0,0,0,173.8767085,danbai,danhong
11,28,42,15,0,0,3,12,0,0,195.2558239,danbai,danhong
12,90,9,0,0,0,2,0,0,0,150.14922909999999,danbai,danhong
13,74,24,0,0,0,1,0,0,0,170.93050380000003,danbai,danhong
14,48,24,5,0,0,6,17,0,0,151.9629394,danbai,danhong
15,72,25,1,0,0,0,0,0,0,170.6793718,danbai,danhong
16,40,57,3,0,0,0,0,0,0,199.5509676,danbai,danhong
17,12,63,11,0,0,3,11,0,0,172.51413449999998,danbai,danhong
18,59,40,1,0,0,0,0,0,0,163.0164331,danbai,danhong
19,58,41,0,0,0,0,0,0,0,164.6888964,danbai,danhong
20,36,37,14,0,0,1,12,0,0,154.45629269999998,danbai,danhong
21,73,6,0,0,0,21,0,0,0,143.8506199,danbai,danhong
22,56,21,6,1,0,16,0,0,0,134.396355,danbai,danhong
23,31,48,15,0,0,4,2,0,0,163.5662997,danbai,danhong
24,98,1,0,0,0,1,0,0,0,150.5410753,danbai,danbai
25,84,15,0,0,0,1,0,0,0,141.02954409999998,danbai,danhong
26,77,20,3,0,0,0,0,0,0,160.7275292,danbai,danhong
27,80,17,0,0,0,2,0,0,0,157.1451827,danbai,danhong
28,46,39,13,0,0,1,0,0,0,166.0879525,danbai,danhong
29,27,39,13,5,0,16,0,0,0,175.9421576,danbai,danhong
30,68,20,6,0,0,5,0,0,0,142.65704440000002,danbai,danhong
31,95,3,0,0,0,2,0,0,0,138.1113258,danbai,danhong
32,76,13,1,0,0,10,0,0,0,141.55906869999998,danbai,danhong
33,6,17,52,14,0,6,6,0,0,189.4172055,danbai,danhong
34,19,32,25,10,0,13,0,0,0,135.7112299,danbai,hong
35,1,16,26,10,0,3,44,0,0,148.12750060000002,danbai,danhong
36,23,23,11,3,0,19,21,0,0,124.2222355,danbai,danhong
37,1,29,23,0,0,0,47,0,0,178.06715559999998,danbai,danhong
38,40,55,5,0,0,1,0,0,0,155.87211609999997,danbai,danhong
39,34,45,14,0,0,5,2,0,0,130.86875759999998,danbai,danhong
40,62,10,0,0,0,8,0,0,19,163.2532741,danbai,danhong
41,0,1,28,2,0,0,68,0,0,179.1922837,danbai,danhong
42,62,26,1,0,0,12,0,0,0,139.94464399999998,danbai,danhong
43,58,27,2,0,0,12,0,0,0,161.3829313,danbai,danhong
44,94,5,0,0,0,0,0,0,0,159.51254880000002,danbai,danhong
45,99,0,0,0,0,1,0,0,0,143.28392140000003,danbai,danbai
46,90,7,0,0,0,2,0,0,0,133.9619832,danbai,danhong
47,98,2,0,0,0,0,0,0,0,128.6960547,danbai,danbai
48,94,6,0,0,0,0,1,0,0,137.76984050000002,danbai,danhong
49,97,2,0,0,0,2,0,0,0,170.76486830000002,danbai,danhong
50,80,20,0,0,0,0,0,0,0,165.02311880000002,danbai,danhong
51,75,4,1,0,0,20,0,0,0,163.8485719,danbai,danhong
52,93,7,0,0,0,0,0,0,0,138.0756645,danbai,danhong
53,66,24,5,0,0,0,4,0,0,158.0518524,danbai,danbai
54,46,31,21,2,0,1,0,0,0,182.5156604,danbai,danhong
55,57,26,6,0,0,11,0,0,0,122.00072450000002,danbai,danhong
56,64,22,9,0,0,0,5,0,0,164.8678288,danbai,danbai
57,62,23,4,2,0,7,1,0,0,195.80892409999998,danbai,danhong
58,98,2,0,0,0,1,0,0,0,169.3606993,danbai,danbai
59,59,40,0,0,0,1,0,0,0,145.78839299999999,danbai,danhong
60,94,5,0,0,0,1,0,0,0,156.9783233,danbai,danhong
61,68,29,1,0,0,1,0,0,0,159.45108069999998,danbai,danhong
62,90,6,0,0,0,4,0,0,0,106.54211969999999,danbai,danhong
63,42,36,9,0,0,12,0,0,0,131.999047,danbai,danhong
64,91,9,0,0,0,0,0,0,0,151.0463815,danbai,danhong
65,44,34,13,0,0,2,7,0,0,184.40013090000002,danbai,danhong
66,93,7,0,0,0,0,0,0,0,133.6915971,danbai,danhong
67,60,37,2,0,0,0,0,0,1,151.65824890000002,danbai,danhong
68,73,8,2,0,0,8,9,0,0,120.40616090000002,danbai,danbai
69,68,15,0,0,0,17,0,0,0,159.4764042,danbai,danhong
70,90,9,0,0,0,0,1,0,0,160.5229655,danbai,danhong
71,56,28,2,0,0,14,0,0,0,173.9569678,danbai,danhong
72,82,10,0,0,0,8,0,0,0,165.020705,danbai,danhong
73,84,16,0,0,0,0,0,0,0,171.09410380000003,danbai,danhong
74,0,0,30,0,0,0,70,0,0,194.3069765,danbai,danhong
75,68,24,1,0,0,7,0,0,0,139.9310169,danbai,danhong
76,58,28,10,1,0,2,0,0,0,147.82984109999998,danbai,danhong
77,80,16,1,0,0,3,1,0,0,134.06572590000002,danbai,danhong
