danbai,dan,danhong,hong,jiang,anhong,honghuang,qingzi,danzi,brightness,label,,
58,36,5,0,0,0,0,0,1,151.675807,danbai,,
72,15,6,0,0,3,2,0,0,170.7199058,danbai,,
71,24,0,0,0,0,0,0,5,147.6621642,danbai,,
0,0,7,0,0,0,93,0,0,168.4284914,danbai,,
81,7,0,0,0,12,0,0,1,137.7658806,danbai,,
11,11,21,0,0,0,56,0,0,156.8848299,danbai,,
0,3,29,1,0,0,67,0,0,196.5099377,danbai,,
73,20,1,0,0,7,0,0,0,178.4850182,danbai,,
68,27,5,0,0,0,0,0,0,171.837135,danbai,,
76,17,0,0,0,2,0,0,4,161.0134707,danbai,,
81,15,3,0,0,0,0,0,0,173.8767085,danbai,,
28,42,15,0,0,3,12,0,0,195.2558239,danbai,,
90,9,0,0,0,2,0,0,0,150.1492291,danbai,,
74,24,0,0,0,1,0,0,0,170.9305038,danbai,,
48,24,5,0,0,6,17,0,0,151.9629394,danbai,,
72,25,1,0,0,0,0,0,0,170.6793718,danbai,,
40,57,3,0,0,0,0,0,0,199.5509676,danbai,,
12,63,11,0,0,3,11,0,0,172.5141345,danbai,,
59,40,1,0,0,0,0,0,0,163.0164331,danbai,,
58,41,0,0,0,0,0,0,0,164.6888964,danbai,,
36,37,14,0,0,1,12,0,0,154.4562927,danbai,,
73,6,0,0,0,21,0,0,0,143.8506199,danbai,,
56,21,6,1,0,16,0,0,0,134.396355,danbai,,
31,48,15,0,0,4,2,0,0,163.5662997,danbai,,
98,1,0,0,0,1,0,0,0,150.5410753,danbai,,
84,15,0,0,0,1,0,0,0,141.0295441,danbai,,
77,20,3,0,0,0,0,0,0,160.7275292,danbai,,
80,17,0,0,0,2,0,0,0,157.1451827,danbai,,
46,39,13,0,0,1,0,0,0,166.0879525,danbai,,
27,39,13,5,0,16,0,0,0,175.9421576,danbai,,
68,20,6,0,0,5,0,0,0,142.6570444,danbai,,
95,3,0,0,0,2,0,0,0,138.1113258,danbai,,
76,13,1,0,0,10,0,0,0,141.5590687,danbai,,
6,17,52,14,0,6,6,0,0,189.4172055,danbai,,
19,32,25,10,0,13,0,0,0,135.7112299,danbai,,
1,16,26,10,0,3,44,0,0,148.1275006,danbai,,
23,23,11,3,0,19,21,0,0,124.2222355,danbai,,
1,29,23,0,0,0,47,0,0,178.0671556,danbai,,
40,55,5,0,0,1,0,0,0,155.8721161,danbai,,
34,45,14,0,0,5,2,0,0,130.8687576,danbai,,
62,10,0,0,0,8,0,0,19,163.2532741,danbai,,
0,1,28,2,0,0,68,0,0,179.1922837,danbai,,
62,26,1,0,0,12,0,0,0,139.944644,danbai,,
58,27,2,0,0,12,0,0,0,161.3829313,danbai,,
94,5,0,0,0,0,0,0,0,159.5125488,danbai,,
99,0,0,0,0,1,0,0,0,143.2839214,danbai,,
90,7,0,0,0,2,0,0,0,133.9619832,danbai,,
98,2,0,0,0,0,0,0,0,128.6960547,danbai,,
94,6,0,0,0,0,1,0,0,137.7698405,danbai,,
97,2,0,0,0,2,0,0,0,170.7648683,danbai,,
80,20,0,0,0,0,0,0,0,165.0231188,danbai,,
75,4,1,0,0,20,0,0,0,163.8485719,danbai,,
93,7,0,0,0,0,0,0,0,138.0756645,danbai,,
66,24,5,0,0,0,4,0,0,158.0518524,danbai,,
46,31,21,2,0,1,0,0,0,182.5156604,danbai,,
57,26,6,0,0,11,0,0,0,122.0007245,danbai,,
64,22,9,0,0,0,5,0,0,164.8678288,danbai,,
62,23,4,2,0,7,1,0,0,195.8089241,danbai,,
98,2,0,0,0,1,0,0,0,169.3606993,danbai,,
59,40,0,0,0,1,0,0,0,145.788393,danbai,,
94,5,0,0,0,1,0,0,0,156.9783233,danbai,,
68,29,1,0,0,1,0,0,0,159.4510807,danbai,,
90,6,0,0,0,4,0,0,0,106.5421197,danbai,,
42,36,9,0,0,12,0,0,0,131.999047,danbai,,
91,9,0,0,0,0,0,0,0,151.0463815,danbai,,
44,34,13,0,0,2,7,0,0,184.4001309,danbai,,
93,7,0,0,0,0,0,0,0,133.6915971,danbai,,
60,37,2,0,0,0,0,0,1,151.6582489,danbai,,
73,8,2,0,0,8,9,0,0,120.4061609,danbai,,
68,15,0,0,0,17,0,0,0,159.4764042,danbai,,
90,9,0,0,0,0,1,0,0,160.5229655,danbai,,
56,28,2,0,0,14,0,0,0,173.9569678,danbai,,
82,10,0,0,0,8,0,0,0,165.020705,danbai,,
84,16,0,0,0,0,0,0,0,171.0941038,danbai,,
0,0,30,0,0,0,70,0,0,194.3069765,danbai,,
68,24,1,0,0,7,0,0,0,139.9310169,danbai,,
58,28,10,1,0,2,0,0,0,147.8298411,danbai,,
80,16,1,0,0,3,1,0,0,134.0657259,danbai,,
52,39,4,0,0,4,0,0,0,149.771814,danbai,,
99,1,0,0,0,0,0,0,0,148.3106796,danbai,,
63,21,3,0,0,12,0,0,0,153.8560124,danbai,,
69,24,0,0,0,6,0,0,0,126.6458567,danbai,,
68,26,5,0,0,1,0,0,0,143.0982631,danbai,,
52,34,12,0,0,1,1,0,0,162.5193634,danbai,,
72,27,1,0,0,0,0,0,0,156.8697492,danbai,,
54,43,2,1,0,0,0,0,0,205.1725188,danbai,,
61,37,1,0,0,1,0,0,0,192.0675799,danbai,,
28,33,33,0,0,1,5,0,0,184.3546321,danbai,,
65,30,5,1,0,1,0,0,0,159.4795103,danbai,,
73,22,3,2,0,1,0,0,0,174.890019,danbai,,
73,20,0,0,0,3,0,0,4,132.1775679,danbai,,
64,31,5,0,0,0,0,0,0,178.3670475,danbai,,
2,7,27,1,0,17,45,0,0,183.730875,danbai,,
56,17,7,15,0,4,0,0,0,160.9546584,danbai,,
42,37,9,0,0,11,0,0,0,179.3048287,danbai,,
69,25,0,0,0,5,0,0,0,154.1339516,danbai,,
50,29,11,8,0,3,0,0,0,153.7764384,danbai,,
93,7,0,0,0,0,0,0,0,196.9811427,danbai,,
96,4,0,0,0,0,0,0,0,146.2409025,danbai,,
93,7,0,0,0,0,0,0,0,198.3253688,danbai,,
5,6,18,0,0,2,70,0,0,143.2925707,danbai,,
86,10,0,0,0,4,0,0,0,134.3879641,danbai,,
78,14,5,1,0,2,0,0,0,185.149524,danbai,,
86,1,0,0,0,5,0,0,8,132.2923417,danbai,,
81,10,0,0,0,7,3,0,0,139.9458877,danbai,,
62,24,1,0,0,12,0,0,1,133.7910975,danbai,,
34,10,3,1,0,52,0,0,0,139.8908518,danbai,,
95,1,1,0,0,0,3,0,0,181.3189829,danbai,,
73,16,7,0,0,2,2,0,0,148.13785,danbai,,
0,2,7,0,0,0,91,0,0,116.6570379,danbai,,
52,33,15,0,0,0,0,0,0,147.2838204,danbai,,
76,17,3,0,0,0,0,0,5,169.4178242,danbai,,
9,34,27,4,0,6,21,0,0,107.7332528,danbai,,
87,11,0,0,0,2,0,0,0,168.4591783,danbai,,
13,66,17,2,0,1,0,0,0,200.2501746,danbai,,
99,0,0,0,0,0,0,0,1,155.1665265,danbai,,
91,9,0,0,0,0,0,0,0,161.1899771,danbai,,
76,16,0,0,0,7,0,0,0,122.1343954,danbai,,
77,8,0,0,0,14,0,0,1,144.9418425,danbai,,
51,45,2,2,0,0,0,0,0,204.1526831,danbai,,
84,14,0,0,0,3,0,0,0,149.8450423,danbai,,
26,36,13,0,0,25,0,0,0,136.8494533,danbai,,
69,30,0,0,0,0,0,0,0,166.9743515,danbai,,
64,23,0,0,0,12,0,0,0,111.7758921,danbai,,
49,41,10,0,0,0,0,0,0,183.3824249,danbai,,
58,32,6,0,0,4,0,0,0,167.5586532,danbai,,
69,22,0,0,0,0,0,0,9,130.1812509,danbai,,
43,21,20,2,0,6,9,0,0,109.3544429,danbai,,
65,26,6,0,0,3,0,0,0,175.7194395,danbai,,
85,6,0,0,0,9,0,0,0,142.4166747,danbai,,
54,33,5,0,0,7,1,0,0,121.9520371,danbai,,
0,3,29,1,0,0,67,0,0,196.7770645,danbai,,
82,9,0,0,0,5,0,0,3,142.5607131,danzi,,
61,13,0,0,0,1,0,0,24,169.2088706,danzi,,
84,15,0,0,0,1,0,0,0,153.5202408,danzi,,
94,3,0,0,0,1,0,0,1,148.3578544,danzi,,
98,2,0,0,0,0,1,0,0,164.1988319,danzi,,
41,43,7,0,0,3,0,0,6,127.609111,danzi,,
21,72,7,0,0,0,0,0,0,146.2185203,danzi,,
63,36,0,0,0,1,0,0,1,145.6729881,danzi,,
